Model created!
Starting value iteration ...
Value iteration complete!
48.1154908665 80 100
47.8015940841 80 100
47.487784091 80 100
47.1740732759 80 100
46.8604740235 80 100
46.5469987143 80 100
46.2336597236 80 100
45.9204694216 80 100
45.6074401725 80 100
45.2945843341 80 100
44.9819142574 80 100
44.6694422862 80 100
44.3571807563 80 100
44.0451419953 80 100
43.7333383218 80 100
43.4217820454 80 100
43.1104854658 80 100
42.7994608724 80 100
42.488720544 80 100
42.178276748 80 100
41.8681417403 80 100
41.5583277644 80 100
41.2488470512 80 100
40.9397118186 80 100
40.6309342707 80 100
40.3225265975 80 100
40.0145009743 80 100
39.7068695615 80 100
39.3996445039 80 100
39.0928379302 80 100
38.7864619525 80 100
38.4805286662 80 100
38.1750501488 80 100
37.8700384602 80 100
37.5655056418 80 100
37.2614637158 80 100
36.9579246855 80 100
36.654900534 80 100
36.3524032241 80 100
36.050444698 80 100
35.7490368765 80 100
35.4481916586 80 100
35.1479209211 80 100
34.8482365184 80 100
34.5491502813 80 100
34.2506740172 80 100
33.9528195096 80 100
33.6555985173 80 100
33.3590227739 80 100
33.0631039877 80 100
32.7678538413 80 100
32.4732839904 80 100
32.1794060643 80 100
31.8862316648 80 100
31.5937723658 80 100
31.3020397131 80 100
31.0110452239 80 100
30.7208003861 80 100
30.4313166581 80 100
30.1426054683 80 100
29.8546782143 80 100
29.5675462632 80 100
29.2812209503 80 100
28.9957135794 80 100
28.7110354217 80 100
28.427197716 80 100
28.1442116675 80 100
27.8620884481 80 100
27.5808391955 80 100
27.300475013 80 100
27.0210069689 80 100
26.7424460961 80 100
26.4648033917 70 100
26.1880898166 60 100
25.9123162949 50 100
25.6374937137 40 100
25.3636329226 30 100
25.090744733 30 100
24.8188399182 30 100
24.5479292125 30 100
24.2780233109 30 100
24.009132869 30 100
23.7412685019 30 100
23.4744407847 30 100
23.208660251 30 100
22.9439373937 30 100
22.6802826633 30 100
22.4177064686 30 100
22.1562191756 30 100
21.8958311074 30 100
21.6365525437 30 100
21.3783937203 30 100
21.1213648289 30 100
20.8654760166 30 100
20.6107373854 30 100
20.3571589919 30 100
20.1047508471 30 100
19.8535229155 30 100
19.6034851153 20 100
19.3546473174 10 100
19.1070193455 10 100
18.8606109756 10 100
18.6154319355 10 100
18.3714919043 10 100
18.1288005126 10 100
17.8873673412 10 100
17.6472019215 10 100
17.408313735 10 100
17.1707122124 10 100
16.9344067338 10 100
16.6994066283 10 100
16.4657211732 10 100
16.2333595939 10 100
16.0023310639 10 100
15.7726447036 10 100
15.5443095806 10 100
15.3173347094 10 100
15.0917290503 10 100
14.8675015101 10 100
14.6446609407 10 100
14.4232161395 10 100
14.2031758489 10 100
13.9845487556 10 100
13.7673434906 10 100
13.5515686289 10 100
13.3372326889 10 100
13.1243441321 10 100
12.9129113631 10 100
12.7029427288 10 100
12.4944465185 10 100
12.2874309632 10 100
12.0819042356 10 100
11.8778744494 10 100
11.6753496595 10 100
11.4743378612 10 100
11.2748469901 10 100
11.0768849216 10 100
10.8804594712 10 100
10.6855783932 10 100
10.4922493812 10 100
10.3004800676 10 100
10.1102780231 10 100
9.92165075646 10 100
9.73460571444 10 100
9.54915028125 10 100
9.36529177835 10 100
